customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
C0013,Male,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,113.19,6224.21
C0014,Female,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,76.24,4913.45
C0015,Male,0,No,No,8,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),65.39,487.02
C0016,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,81.57,3677.26
C0017,Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.0,927.74
C0018,Female,0,Yes,No,72,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,117.34,8179.96
C0019,Male,0,Yes,No,5,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),81.25,411.47
C0020,Female,0,Yes,No,51,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),92.04,4611.02
C0021,Male,0,No,Yes,9,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),60.88,589.15
C0022,Female,0,No,No,57,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),100.54,5776.62
C0023,Female,0,No,No,14,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.2,1374.83
C0024,Male,1,Yes,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),83.01,4708.77
C0025,Male,0,Yes,No,47,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,43.64,2230.18
C0026,Male,1,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.71,1314.38
C0027,Female,0,No,No,41,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,33.15,1399.72
C0028,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.53,857.96
C0029,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),72.24,3165.81
C0030,Female,0,Yes,No,44,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),108.18,4715.15
C0031,Male,0,No,No,67,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),89.46,6488.05
C0032,Male,0,Yes,Yes,72,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.45,2013.21
C0033,Female,0,No,No,49,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),110.95,5658.3
C0034,Female,0,Yes,Yes,36,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),67.67,2388.58
C0035,Female,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,53.87,1970.86
C0036,Male,0,Yes,No,12,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,99.65,1208.14
C0037,Male,1,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,49.54,406.16
C0038,Female,0,Yes,Yes,10,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,22.06,238.42
C0039,Female,0,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.81,1614.97
C0040,Male,1,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,39.73,1205.26
C0041,Female,0,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),80.19,2730.76
C0042,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),64.62,2766.95
C0043,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),66.42,4259.94
C0044,Female,0,No,No,10,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,52.41,504.47
C0045,Female,0,No,Yes,4,Yes,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,95.89,393.79
C0046,Male,0,Yes,No,9,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,87.15,706.89
C0047,Female,0,No,Yes,55,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),25.25,1292.4
C0048,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,114.66,5098.87
C0049,Male,0,No,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,117.34,1001.3
C0050,Female,0,No,Yes,36,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,36.23,1294.7
C0051,Female,0,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),48.11,2377.21
C0052,Female,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,116.18,5630.98
C0053,Female,0,No,No,36,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.77,2368.16
C0054,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.88,1272.43
C0055,Male,0,Yes,No,7,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,57.7,422.08
C0056,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,82.06,1205.19
C0057,Male,0,Yes,No,12,Yes,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),69.97,893.33
C0058,Female,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),54.29,3521.41
C0059,Male,0,Yes,No,27,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),104.56,2999.84
C0060,Female,1,Yes,No,3,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),30.02,81.97
C0061,Female,1,No,No,12,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,62.21,699.1
C0062,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),50.2,378.15
C0063,Female,0,No,No,29,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.22,2081.47
C0064,Female,0,Yes,No,32,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),94.95,3273.5
C0065,Female,1,No,No,9,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,115.09,1079.78
C0066,Female,1,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.6,816.84
C0067,Female,0,No,No,28,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),33.22,
C0068,Female,1,No,No,7,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,88.73,638.84
C0069,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,116.47,6661.07
C0070,Female,1,No,Yes,29,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),55.27,1569.39
C0071,Female,0,No,No,27,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,94.58,2461.42
C0072,Female,1,No,No,28,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),112.44,3156.94
C0073,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),25.95,478.14
C0074,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.71,6085.81
C0075,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),41.76,532.68
C0076,Male,0,Yes,Yes,66,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),86.38,5476.06
C0077,Male,1,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,37.33,117.24
C0078,Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.05,389.48
C0079,Male,0,Yes,Yes,30,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),43.17,1313.54
C0080,Female,0,No,No,20,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),103.02,2053.15
C0081,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),22.22,817.06
C0082,Female,0,No,No,50,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,114.69,5418.69
C0083,Female,1,Yes,Yes,39,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),87.8,
C0084,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),95.58,5932.63
C0085,Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,63.13,135.1
C0086,Female,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.3,945.56
C0087,Female,1,Yes,No,7,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),109.31,697.83
C0088,Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),52.57,2333.47
C0089,Male,0,No,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,56.18,1220.24
C0090,Male,1,Yes,Yes,62,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,65.21,3878.42
C0091,Male,0,Yes,No,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,79.63,4981.09
C0092,Female,0,No,No,22,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,64.25,1339.17
C0093,Male,0,Yes,No,42,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),96.72,3976.79
C0094,Female,0,No,No,23,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),67.34,1470.89
C0095,Male,0,Yes,No,15,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,66.67,1026.51
C0096,Male,0,No,Yes,52,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,76.81,4348.39
C0097,Male,0,No,No,65,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),78.92,5010.85
C0098,Female,0,Yes,No,68,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,45.43,3165.85
C0099,Female,0,No,No,6,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),41.97,245.03
C0100,Male,0,Yes,Yes,60,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.07,6041.49
C0101,Female,1,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),23.36,1001.82
C0102,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,38.48,2462.79
C0103,Female,0,Yes,Yes,64,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),95.93,6396.21
C0104,Male,0,No,No,44,Yes,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.23,3025.23
C0105,Female,0,No,Yes,13,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),85.47,1050.99
C0106,Male,1,Yes,No,18,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),85.96,1411.22
C0107,Male,0,No,No,59,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,114.05,7206.91
C0108,Female,0,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,57.61,1377.86
C0109,Male,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,55.77,1258.51
C0110,Male,0,No,No,52,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,105.5,5317.04
C0111,Female,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),58.94,2053.08
C0112,Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),54.23,971.72
C0113,Female,0,No,Yes,61,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),51.87,3276.41
C0114,Female,0,No,Yes,12,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,26.38,318.73
C0115,Female,0,No,No,46,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,119.45,5464.15
C0116,Female,0,No,No,62,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),100.05,5771.66
C0117,Male,0,No,No,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,85.04,5503.72
C0118,Female,0,No,No,70,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.05,3868.15
C0119,Female,0,No,Yes,31,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.89,2440.55
C0120,Male,0,Yes,Yes,48,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.11,
C0121,Female,0,No,Yes,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,83.96,3621.03
C0122,Female,1,Yes,No,5,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),106.64,546.28
C0123,Female,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,112.6,4142.18
C0124,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,67.9,1171.89
C0125,Female,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,69.74,363.04
C0126,Female,0,Yes,No,22,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,91.67,1989.16
C0127,Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.4,5352.99
C0128,Female,0,No,No,51,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),105.45,5628.47
C0129,Female,1,Yes,No,42,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,74.92,3304.62
C0130,Male,0,Yes,Yes,59,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,56.83,3573.55
C0131,Male,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),110.53,6301.73
C0132,Female,1,No,Yes,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,62.1,3369.04
C0133,Female,0,No,Yes,53,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,25.68,1301.53
C0134,Female,0,Yes,No,67,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,119.92,8221.28
C0135,Male,0,Yes,Yes,45,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),63.15,2923.04
C0136,Female,1,Yes,Yes,22,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,111.82,2407.21
C0137,Female,1,No,No,70,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),79.97,5853.88
C0138,Male,1,No,No,2,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),83.21,182.54
C0139,Female,0,Yes,No,72,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),115.18,8899.68
C0140,Female,1,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,24.44,453.73
C0141,Female,0,No,Yes,34,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,107.51,3342.85
C0142,Male,0,Yes,Yes,35,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,104.38,3814.77
C0143,Female,0,Yes,No,63,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),48.84,2940.44
C0144,Male,1,No,No,27,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,119.58,3455.04
C0145,Female,1,Yes,No,34,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),96.0,3252.11
C0146,Male,0,No,No,21,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),77.26,1649.28
C0147,Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),51.83,3396.48
C0148,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,80.17,3472.27
C0149,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.12,1674.65
C0150,Male,1,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,112.42,3522.41
C0151,Female,0,Yes,Yes,46,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,35.99,1505.36
C0152,Female,0,Yes,No,39,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,86.96,3061.07
C0153,Male,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),42.67,582.29
C0154,Male,0,No,No,54,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),103.53,5986.05
C0155,Female,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,87.02,2664.54
C0156,Female,0,No,No,27,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),22.13,608.59
C0157,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,72.72,3560.73
C0158,Female,0,Yes,Yes,30,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),34.46,957.66
C0159,Female,0,Yes,No,31,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),65.13,1875.91
C0160,Male,0,Yes,No,50,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),47.72,2596.64
C0161,Male,0,No,No,64,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,99.42,6620.77
C0162,Male,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.14,3737.63
C0163,Male,0,No,No,65,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,109.19,7651.13
C0164,Male,0,No,No,5,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,75.23,344.05
C0165,Female,0,No,Yes,3,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),46.96,140.48
C0166,Male,0,No,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),89.87,3260.75
C0167,Male,0,No,No,54,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),45.41,2371.03
C0168,Male,0,Yes,No,30,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,92.31,2599.46
C0169,Female,0,Yes,No,53,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),28.41,1642.13
C0170,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.41,2389.47
C0171,Male,0,Yes,No,43,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),51.14,2328.77
C0172,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,45.81,757.92
C0173,Male,1,Yes,No,39,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,119.55,4398.57
C0174,Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,56.89,1247.49
C0175,Female,0,No,No,10,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.58,500.67
C0176,Male,1,No,No,38,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,46.96,1872.52
C0177,Female,1,No,Yes,57,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.3,4692.96
C0178,Male,0,Yes,No,67,Yes,No phone service,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),114.17,7285.16
C0179,Male,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),67.36,1823.93
C0180,Male,0,No,No,72,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),62.19,4062.68
C0181,Male,0,Yes,Yes,28,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),117.84,3289.38
C0182,Male,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),40.47,408.1
C0183,Male,0,No,No,44,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,49.93,2296.36
C0184,Male,1,No,No,22,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),89.32,1810.06
